SpecimenCode	Subfamily	Genus	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm1	Adm2	Country	Elevation	ElevationMaxError	LocLatitude	LocLongitude	LatLonMaxError	Bioregion	LocalityNotes	LocalityCode	Created	uploadId
casent0013571	dolichoderinae	linepithema	humile	>5 workers	Pin				NHMUK				ANTC6898	H. Donisthorpe	1926-03-21						Palermo	Sicilia		Italy			38.1167	13.3667		Palearctic		Palermo_a	2024-08-16 02:45:34.0	1691	
casent0013572	dolichoderinae	linepithema	humile	1 queen, >5 workers	Pin				ALWC				ANTC6899	B. Garcete	1994-09-21						Villa Hayes	Presidente Hayes		Paraguay			-25.1	-57.5667		Neotropical		Villa_Hayes	2024-08-16 02:45:34.0	1691	
casent0013573	dolichoderinae	linepithema	humile	3 workers	Pin				PSWC				PSW13364	P.S. Ward	1997-05-21			grassland	ground nest		Grasslands Regional Park, 8km SE Davis	California	Yolo	United States	10		38.5	-121.68333		Nearctic	coordinates obtained from GPS	Grasslands_Regional_Park_10	2024-08-16 02:45:34.0	1691	
casent0013574	dolichoderinae	linepithema	humile	2 workers, 1 male	Pin				USNM				ANTC6900		1929-06-21						Pasadena	California	Los Angeles	United States			34.15	-118.15		Nearctic		Pasadena_a	2024-08-16 02:45:34.0	1691	
casent0013575	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0677	A.V. Suarez	1997-12-21						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013576	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0685	A.V. Suarez	1997-12-21						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013577	dolichoderinae	linepithema	humile	>5 workers	Pin				FML				ANTC6901		1952-01-22						Lima-ZÃ¡rete	Buenos Aires		Argentina			-34.05	-59.2		Neotropical		Lima-34.05,-59.2	2024-08-16 02:45:34.0	1691	
casent0013578	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6902	Lindberg	1959-04-22						Porto Moniz	Madeira		Portugal			32.85	-17.1667		Palearctic		Porto_Moniz	2024-08-16 02:45:34.0	1691	
casent0013579	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6903	Lindberg	1959-04-22						Ribeira Brava	Madeira		Portugal			32.65	-17.0667		Palearctic		Ribeira_Brava_a	2024-08-16 02:45:34.0	1691	
casent0013580	dolichoderinae	linepithema	humile	2 males	Pin				PSWC				PSW06742	P.S. Ward	1984-05-22						Davis	California	Yolo	United States	10		38.55	-121.7333		Nearctic		Davis_10_m	2024-08-16 02:45:34.0	1691	
casent0013581	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				ANTC6904	J.C. Holley	2005-05-22			urban environment	column of foragers on concrete			Guanajuato		Mexico			21.0167	-101.25		Nearctic		Guanajuato	2024-08-16 02:45:34.0	1691	
casent0013582	dolichoderinae	linepithema	humile	>5 workers, 1 male	Pin				FML				ANTC6905		1948-06-22						Clorinda	Formosa	Pilcomayo	Argentina			-25.2833	-57.7167		Neotropical		Clorinda	2024-08-16 02:45:34.0	1691	
casent0013583	dolichoderinae	linepithema	humile	2 workers	Pin				MZSP				AW6544	A. Weil	1971-10-22						Manaus	Amazonas		Brazil			-3.1167	-60.0333		Neotropical		Manaus_a	2024-08-16 02:45:34.0	1691	
casent0013584	dolichoderinae	linepithema	humile	5 workers	Pin				UCDC				ANTC6906	E. Arias	1996-12-22						Los Angeles	BiobÃ­o		Chile			-37.4333	-72.3167		Neotropical		Los_Angeles_CI	2024-08-16 02:45:34.0	1691	
casent0013585	dolichoderinae	linepithema	humile	3 workers	Pin				PSWC				PSW12753	P.S. Ward	1995-01-23			park/garden	ground forager(s)		Rawson	Chubut	Rawson	Argentina	10		-43.3	-65.1		Neotropical		Rawson	2024-08-16 02:45:34.0	1691	
casent0013586	dolichoderinae	linepithema	humile	3 workers	Pin				MZSP				ANTC6907	T. McCarthy	1950-05-23						Sydney	New South Wales		Australia			-33.8833	151.2167		Australasia		Sydney_b	2024-08-16 02:45:34.0	1691	
casent0013587	dolichoderinae	linepithema	humile	3 males	Pin				UCDC				AVS0366	A.V. Suarez	1996-05-23						Point Loma	California	San Diego	United States	73		33.2167	-117.4		Nearctic		Point_Loma	2024-08-16 02:45:34.0	1691	
casent0013588	dolichoderinae	linepithema	humile	3 workers	Pin				MCZ				ANTC6908	W.M. Wheeler	1925-07-23			banana plantation			Gran Canaria, Las Palmas prov., Telde	Canary Islands		Spain			28.0	-15.4167		Palearctic		Gran_Canaria_Telde	2024-08-16 02:45:34.0	1691	
casent0013589	dolichoderinae	linepithema	humile	3 workers	Pin				NHMUK				ANTC6909		1962-07-23			thin Dry Forest			Parque Florestal de Monsanto	Lisboa		Portugal			38.7167	-9.1333		Palearctic		Lisboa	2024-08-16 02:45:34.0	1691	
casent0013590	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				JSP155	J.S. Pedersen	1999-10-23						Santa Coloma	Buenos Aires		Argentina			-34.4333	-59.0333		Neotropical		Santa_Coloma	2024-08-16 02:45:34.0	1691	
casent0013591	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0664	A.V. Suarez	1997-12-23						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013592	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0688	A.V. Suarez	1997-12-23						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013593	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6910	R.E. Turner	1930-12-23	1930-12-31					Somerset East	Eastern Cape		South Africa			-32.7167	25.5833		Afrotropical		Somerset_East_a	2024-08-16 02:45:34.0	1691	
casent0013594	dolichoderinae	linepithema	humile	5 workers, 2 males	Pin				USNM				ANTC6911		1929-05-24						Colma	California	San Mateo	United States			37.7	-122.45		Nearctic		Colma	2024-08-16 02:45:34.0	1691	
casent0013595	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				JSP158	J.S. Pedersen	1999-10-24						Boca	Buenos Aires		Argentina			-34.6333	-58.35		Neotropical		Boca-34.6333,-58.35	2024-08-16 02:45:34.0	1691	
casent0013596	dolichoderinae	linepithema	humile	1 worker	Pin				AVSC				AVS0590	A.V. Suarez	1997-12-24						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013597	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0600	A.V. Suarez	1997-12-24						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013598	dolichoderinae	linepithema	humile	1 worker	Pin				AVSC				AVS0630	A.V. Suarez	1997-12-24						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013599	dolichoderinae	linepithema	humile	1 male	Pin				AVSC				AVS0683	A.V. Suarez	1997-12-24						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013600	dolichoderinae	linepithema	humile	2 males	Pin				AVSC				AVS0687	A.V. Suarez	1997-12-24						Costanera Sur	Buenos Aires		Argentina			-34.6083	-58.3567		Neotropical		Costanera_Sur	2024-08-16 02:50:43.0	1691	
casent0013601	dolichoderinae	linepithema	humile	2 workers	Pin				NHMUK				ANTC6912		1935-04-25						Farham House Lab, Imperial Bureau of Entomology			United Kingdom			51.5333	-0.6167		Palearctic		Farham_House_Lab	2024-08-16 02:45:34.0	1691	
casent0013602	dolichoderinae	linepithema	humile	3 workers	Pin	geolocate_UncertaintyRadiusMeters: 301 geolocate_UncertaintyPolygon: Unavailable geolocate_Score: 42 geolocate_Precision: Low geolocate_ParsePattern: GRAN CANARIA			MCZ				ANTC6913	W.M. Wheeler	1925-07-25						Gran Canaria, Las Palmas prov., "Tern." (not found)	Canary Islands		Spain			28.13289	-15.43584		Palearctic		Gran_Canaria_Tern	2024-08-16 02:45:34.0	1691	
casent0013603	dolichoderinae	linepithema	humile	3 workers	Pin				UCDC				ANTC6914	E. Arias	1994-12-25		malaise trap				Los Angeles	BiobÃ­o		Chile			-37.4333	-72.3167		Neotropical		Los_Angeles_CI	2024-08-16 02:45:34.0	1691	
casent0013604	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW1847	Alex L. Wild	2003-01-26						Colesberg	Northern Cape		South Africa	720		-30.7333	25.1		Afrotropical		Colesberg	2024-08-16 02:45:34.0	1691	
casent0013605	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0846	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013606	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0847	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013607	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0848	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013608	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0849	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013609	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0850	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013610	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0851	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013611	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0852	A.V. Suarez	1999-01-26						PN. Pre Delta	Entre RÃ­os	Diamante	Argentina			-32.1167	-60.6333		Neotropical		Pre_Delta	2024-08-16 02:50:43.0	1691	
casent0013612	dolichoderinae	linepithema	humile	>5 workers	Pin				FML				ANTC6915	N. Kusnezov	1948-11-26						Mojon de Fierro	Formosa	Formosa	Argentina			-26.05	-58.05		Neotropical		Mojon_de_Fierro	2024-08-16 02:45:34.0	1691	
casent0013613	dolichoderinae	linepithema	humile	>5 workers	Pin				MZSP				ANTC6916	R.J. Hamilton	1967-11-26						Bolsa Chica Marsh	California	Orange	United States			34.15	-118.15		Nearctic		Bolsa_Chica_Marsh	2024-08-16 02:45:34.0	1691	
casent0013614	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6917	Lindberg	1959-04-28						Praia Formosa, pr. Funchal (Coords given for Funchal)	Madeira		Portugal			32.6333	-16.9		Palearctic		Praia_Formosa	2024-08-16 02:45:34.0	1691	
casent0013615	dolichoderinae	linepithema	humile	3 workers	Pin				ALWC				AW1655	Alex L. Wild	2002-10-28						Diamante	Entre RÃ­os	Diamante	Argentina	22		-32.0161	-60.6469		Neotropical		Diamante	2024-08-16 02:45:34.0	1691	
casent0013616	dolichoderinae	linepithema	humile	2 queens, 1 worker, 2 males	Pin				NHMUK				ANTC6918	G. Arnold	1913-12-28						Table Mt.	Western Cape		South Africa			-33.9667	18.4167		Afrotropical		Table_Mt	2024-08-16 02:45:34.0	1691	
casent0013617	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0856	A.V. Suarez	1999-01-28						Port Ocampo	Santa Fe	General Obligado	Argentina			-28.5	-59.2667		Neotropical		Port_Ocampo	2024-08-16 02:50:43.0	1691	
casent0013618	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6919	Lindberg	1959-04-28						SÃ£o Vicente, Madeira			Portugal			32.77389	-17.03167		Palearctic	coordinates obtained from Wikipedia	Sao_Vicente	2024-08-16 02:45:34.0	1691	
casent0013619	dolichoderinae	linepithema	humile	3 workers	Pin				PSWC				PSW08832	P.S. Ward	1987-05-29			riparian woodland	ground forager(s)		Caswell State Park.	California	San Joaquin	United States	15		37.7	-121.1833		Nearctic		Caswell_State_Park	2024-08-16 02:45:34.0	1691	
casent0013620	dolichoderinae	linepithema	humile	1 male	Pin				UCDC				PSW14405	P.S. Ward	2001-07-29						Russian R. 6k E. Healdsburg	California	Sonoma	United States	40		38.6	-122.8		Nearctic	coordinates obtained from Label	Russian_River_40_Bay_Area	2024-08-16 02:45:34.0	1691	
casent0013621	dolichoderinae	linepithema	humile	3 workers	Pin				ALWC				AW1656	Alex L. Wild	2002-10-29						Victoria	Entre RÃ­os	Victoria	Argentina	6		-32.635	-60.1669		Neotropical		Victoria_AR	2024-08-16 02:45:34.0	1691	
casent0013622	dolichoderinae	linepithema	humile	3 workers	Pin				UCDC				MRO142	M.R. Orr	1996-11-29						Passo do Lontra	Mato Grosso do Sul		Brazil			-19.5667	-57.0167		Neotropical		Passo_do_Lontra	2024-08-16 02:45:34.0	1691	
casent0013623	dolichoderinae	linepithema	humile	3 workers	Pin				UCDC				ANTC6920	E. Arias	1997-02-03				beach vegetation		Talagante	RegiÃ³n Metropolitana		Chile			-33.6667	-70.9333		Neotropical		Talagante	2024-08-16 02:45:34.0	1691	
casent0013624	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6921	Lindberg	1959-03-03						Santa Brigida (as "Santa Brigada")	Canary Islands		Spain			28.0333	-15.5		Palearctic		Santa_Brigida	2024-08-16 02:45:34.0	1691	
casent0013625	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6922	Lindberg	1959-04-03						Tenerife, Ladera de Guimar	Canary Islands		Spain			28.2833	-16.4333		Palearctic		Ladera_de_Guimar	2024-08-16 02:45:34.0	1691	
casent0013626	dolichoderinae	linepithema	humile	5 workers	Pin	geolocate_UncertaintyRadiusMeters: 3036 geolocate_UncertaintyPolygon: Unavailable geolocate_Score: 84 geolocate_Precision: High geolocate_ParsePattern: FEITEIRAS			NHMUK				ANTC6923	Stobl.	1954-07-03						Feiteiras	Madeira		Portugal			32.816666	-16.983334		Palearctic		Feiteiras	2024-08-16 02:45:34.0	1691	
casent0013627	dolichoderinae	linepithema	humile	3 workers	Pin	geolocate_UncertaintyRadiusMeters: 3036 geolocate_UncertaintyPolygon: Unavailable geolocate_Score: 39 geolocate_Precision: Low geolocate_ParsePattern: FEITEIRAS			NHMUK				ANTC6924		1954-08-03						Feiteiras Cross	Madeira		Portugal			32.816666	-16.983334		Palearctic		Feiteiras_Cross	2024-08-16 02:45:34.0	1691	
casent0013628	dolichoderinae	linepithema	humile	2 workers	Pin				NHMUK				ANTC6925	J.A.; L.H.	1962-08-03			near seashore	low vegetation		Leca de Palmeira	Porto		Portugal			41.2	-8.7		Palearctic		Leca_de_Palmeira	2024-08-16 02:45:34.0	1691	
casent0013629	dolichoderinae	linepithema	humile	1 worker	Pin				USNM				ANTC6926	B.D. Burks	1965-08-03				on Baccharis		Berkeley	California	Alameda	United States			37.8667	-122.2667		Nearctic		Berkeley_b	2024-08-16 02:45:34.0	1691	
casent0013630	dolichoderinae	linepithema	humile	2 workers	Pin				NHMUK				ANTC6927	Lindberg	1959-04-30						Canice" (loc not found, Coords given for Madeira Is.)	Madeira		Portugal			32.6333	-16.9		Palearctic		Canice	2024-08-16 02:45:34.0	1691	
casent0013631	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				JSP002	J.S. Pedersen	1999-09-30						Tichuco	TucumÃ¡n	Trancas	Argentina			-26.5167	-65.25		Neotropical		Tichuco	2024-08-16 02:45:34.0	1691	
casent0013632	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW1730	Alex L. Wild	2002-11-30						San Lorenzo	Central		Paraguay	70		-25.3333	-57.5167		Neotropical		San_Lorenzo_70	2024-08-16 02:45:34.0	1691	
casent0013633	dolichoderinae	linepithema	humile	3 workers	Pin				NHMUK				ANTC6928	C. Biezanko	1959-11-30						Pelotas	Rio Grande do Sul		Brazil			-31.7667	-52.3333		Neotropical		Pelotas_b	2024-08-16 02:45:34.0	1691	
casent0013634	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW2140	Alex L. Wild	2003-11-30				Linepithema trail along sidewalk, nest is apparently under concrete		Carapungo	Pichincha		Ecuador	2600		-0.0877	-78.4493		Neotropical		Carapungo	2024-08-16 02:45:34.0	1691	
casent0013635	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0816	A.V. Suarez	1999-01-31						Ita Ibate	Corrientes		Argentina			-27.4167	-57.1667		Neotropical		Ita_Ibate	2024-08-16 02:50:43.0	1691	
casent0013636	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0817	A.V. Suarez	1999-01-31						Ita Ibate	Corrientes		Argentina			-27.4167	-57.1667		Neotropical		Ita_Ibate	2024-08-16 02:50:43.0	1691	
casent0013637	dolichoderinae	linepithema	humile	4 workers, 2 males	Pin				ALWC				AW1660	Alex L. Wild	2002-10-31						Campana	Buenos Aires		Argentina	10		-34.1991	-58.9313		Neotropical		Campana	2024-08-16 02:45:34.0	1691	
casent0013638	dolichoderinae	linepithema	humile	1 worker	Pin				ALWC				AW1661	Alex L. Wild	2002-10-31						Campana	Buenos Aires		Argentina	10		-34.1991	-58.9313		Neotropical		Campana	2024-08-16 02:45:34.0	1691	
casent0013639	dolichoderinae	linepithema	humile	1 queen, 5 workers	Pin				NHMUK				ANTC6929	R.T.M. Prescott	1939-10-31						s. loc	Victoria		Australia						Australasia		s_loc_AS_Victoria	2024-08-16 02:45:34.0	1691	
casent0013640	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				ANTC6930	B. Garcete | C. Aguilar	1993-10-31						Rio Confuso, Ruta trans-chaco	Presidente Hayes		Paraguay			-25.1	-57.55		Neotropical		Rio_Confuso	2024-08-16 02:45:34.0	1691	
casent0013641	dolichoderinae	linepithema	humile	1 queen	Pin				UCDC				AVS0395	A.V. Suarez	1995-10-31						Pacific Beach	California	San Diego	United States	126		33.2333	-117.15		Nearctic		pacific_beach	2024-08-16 02:45:35.0	1691	
casent0013642	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS1286	A.V. Suarez	1998-04-04						Ensenada, Cortera FR	Baja California		Mexico	10		31.8667	-116.6333		Nearctic		Ensenada	2024-08-16 02:50:43.0	1691	
casent0013643	dolichoderinae	linepithema	humile	1 worker	Pin				NHMB				ANTC6931		1926-06-04						Tenerife, Agua Mansa	Canary Islands		Spain			28.35	-16.4833		Palearctic		Agua_Mansa	2024-08-16 02:45:35.0	1691	
casent0013644	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6932	Wilmatte Porter Cockerell	1931-11-04	1931-11-07					nr. George	Western Cape		South Africa			-33.9667	22.45		Afrotropical		nr_George	2024-08-16 02:45:35.0	1691	
casent0013645	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0766	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013646	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0767	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013647	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0768	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013648	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0769	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013649	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0770	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013650	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0771	A.V. Suarez	1999-02-05						Port Alvear	Corrientes		Argentina			-29.1167	-56.55		Neotropical		Port_Alvear	2024-08-16 02:50:43.0	1691	
casent0013651	dolichoderinae	linepithema	humile	2 workers, 2 males	Pin				FML				ANTC6933		1935-04-05						Toulouse			France			43.6	1.4333		Palearctic		Toulouse	2024-08-16 02:45:35.0	1691	
casent0013652	dolichoderinae	linepithema	humile	3 workers	Pin				NHMUK				ANTC6934		1955-09-05						Castellane	Provence-Alpes-CÃ´te d'Azur		France			43.85	6.5167		Palearctic		Castellane	2024-08-16 02:45:35.0	1691	
casent0013653	dolichoderinae	linepithema	humile	3 males	Pin				UCDC				AVS0426.5	A.V. Suarez	1996-06-05						Kate Sessions Park	California	San Diego	United States	115		33.2833	-117.1333		Nearctic		Kate_Sessions_Park	2024-08-16 02:45:35.0	1691	
casent0013654	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW1763	Alex L. Wild	2000-12-05						5k SE Pozo Colorado	Presidente Hayes		Paraguay	144		-23.5522	-58.7642		Neotropical		Pozo_Colorado_144	2024-08-16 02:45:35.0	1691	
casent0013655	dolichoderinae	linepithema	humile	4 workers	Pin				ALWC				AW1764	Alex L. Wild	2002-12-05			Humid chaco			Ruta Trans-chaco, 5k SE Pozo Colorado	Presidente Hayes		Paraguay	144		-23.55215	-58.764217		Neotropical		Ruta_Trans-Chaco_144	2024-08-16 02:45:35.0	1691	
casent0013656	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				AW1765	Alex L. Wild	2002-12-05			Humid chaco			Ruta Trans-chaco, 5k SE Pozo Colorado	Presidente Hayes		Paraguay	144		-23.55215	-58.764217		Neotropical		Ruta_Trans-Chaco_144	2024-08-16 02:45:35.0	1691	
casent0013657	dolichoderinae	linepithema	humile	1 worker	Pin				FML				ANTC6935	N. Kusnezov	1948-12-05						AsunciÃ³n	Central		Paraguay			-25.28333	-57.63333		Neotropical		Asuncion_a	2024-08-16 02:45:35.0	1691	
casent0013658	dolichoderinae	linepithema	humile		Pin				MZSP				WWK6848	W.W. Kempf	1969-01-06						Anapolis	GoiÃ¡s		Brazil			-16.3333	-48.9667		Neotropical		Anapolis_a	2024-08-16 02:45:35.0	1691	
casent0013659	dolichoderinae	linepithema	humile	4 workers	Pin				MZSP				ANTC6936		1940-06-06						Bolsa Chica Marsh	California	Orange	United States			34.15	-118.15		Nearctic		Bolsa_Chica_Marsh	2024-08-16 02:45:35.0	1691	
casent0013660	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW1767	Alex L. Wild	2002-12-06						Rt. 5 across from Concepcion	Presidente Hayes		Paraguay	90		-23.4554	-57.4583		Neotropical		Concepcion	2024-08-16 02:45:35.0	1691	
casent0013661	dolichoderinae	linepithema	humile	3 workers, 2 males	Pin				AVSC				AVS0876	A.V. Suarez	1997-12-06						Santiago	RegiÃ³n Metropolitana		Chile	521		-33.45	-70.6667		Neotropical		Santiago	2024-08-16 02:50:43.0	1691	
casent0013662	dolichoderinae	linepithema	humile	2 queens, 3 workers	Pin				AVSC				AVS0877	A.V. Suarez	1997-12-06						Santiago	RegiÃ³n Metropolitana		Chile	521		-33.45	-70.6667		Neotropical		Santiago	2024-08-16 02:50:43.0	1691	
casent0013663	dolichoderinae	linepithema	humile	3 workers	Pin				UCDC				ANTC6937	J.E. Barriga	1998-04-06	1998-04-17					10 km E CuricÃ³	Maule		Chile			-34.9833	-71.1833		Neotropical		E_Curico	2024-08-16 02:45:35.0	1691	
casent0013664	dolichoderinae	linepithema	humile	3 workers	Pin				AVSC				AVS0760	A.V. Suarez	1999-02-07						P.N. El Palmar	Entre RÃ­os	ColÃ³n	Argentina			-31.8833	-58.2167		Neotropical		El_Palmar	2024-08-16 02:50:43.0	1691	
casent0013665	dolichoderinae	linepithema	humile	2 workers	Pin				UCDC				ANTC6938	B. Villegas	1975-09-07						18 km SW Toluca	MÃ©xico		Mexico			19.2	-99.8		Nearctic		Toluca	2024-08-16 02:45:35.0	1691	
casent0013666	dolichoderinae	linepithema	humile	1 queen, 4 workers	Pin				UCDC				MRO143	M.R. Orr	1996-05-07						Berkeley	California	Alameda	United States			37.8667	-122.25		Nearctic		Berkeley_c	2024-08-16 02:45:35.0	1691	
casent0013667	dolichoderinae	linepithema	humile	1 worker	Pin				NHMUK				ANTC6939	Lindberg	1959-06-07						Cruz de Tejeda	Canary Islands		Spain			28.0167	-15.6		Palearctic		Cruz_de_Tejeda	2024-08-16 02:45:35.0	1691	
casent0013668	dolichoderinae	linepithema	humile	1 queen	Pin				UCDC				AVS0282	A.V. Suarez	1996-06-07							California	San Diego	United States	34		33.2	-117.2		Nearctic		San_Diego_34	2024-08-16 02:45:35.0	1691	
casent0013669	dolichoderinae	linepithema	humile	>5 workers	Pin				MZSP				KL01264	K. Lenko	1960-12-07						CorumbÃ¡. Pto. EsperanÃ§a	Mato Grosso do Sul		Brazil			-19.6167	-57.45		Neotropical		Pto_Esperanca	2024-08-16 02:45:35.0	1691	
casent0013670	dolichoderinae	linepithema	humile	1 queen, 3 workers, 2 males	Pin				AVSC				AVS0889	A.V. Suarez	1997-12-07						10k E ViÃ±a del Mar	ValparaÃ­so		Chile			-33.0	-71.5167		Neotropical		Vina_del_Mar	2024-08-16 02:50:43.0	1691	
casent0013671	dolichoderinae	linepithema	humile	>5 workers	Pin				ALWC				AW2234	Alex L. Wild	2003-12-07			park surrounding the Mitad del Mundo monument. Irrigated grassed with ornamental	trail of ants across concrete		Mitad del Mundo, at monument	Pichincha		Ecuador	2483		-0.0021	-78.4563		Neotropical		Mitad_del_Mundo	2024-08-16 02:45:35.0	1691	
casent0013672	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				JSP071	J.S. Pedersen	1999-10-07	1999-10-08					AmingÃ¡	La Rioja	Castro Barros	Argentina			-28.8333	-66.9		Neotropical		Aminga	2024-08-16 02:45:35.0	1691	
casent0013673	dolichoderinae	linepithema	humile	2 males	Pin				ALWC				JSP237	J.S. Pedersen	1999-10-07	1999-10-08					Chuquis	La Rioja	Castro Barros	Argentina			-28.9	-66.9667		Neotropical		Chuquis	2024-08-16 02:45:35.0	1691	
casent0013674	dolichoderinae	linepithema	humile	4 queens	Pin				ALWC				JSP236	J.S. Pedersen	1999-10-07	1999-10-08					Chuquis	La Rioja	Castro Barros	Argentina			-28.9	-66.9667		Neotropical		Chuquis	2024-08-16 02:45:35.0	1691	
casent0013675	dolichoderinae	linepithema	humile	2 workers	Pin				ALWC				JSP036	J.S. Pedersen	1999-10-07	1999-10-08					Chuquis	La Rioja	Castro Barros	Argentina			-28.9	-66.9667		Neotropical		Chuquis	2024-08-16 02:45:35.0	1691	
